medium,page_name,page_id,date_since,date_until,date,post_id,post_name,comment_text,polarity,word,frequency
facebook,Tigo El Salvador,113387205347979,2019-06-23,2019-06-26,2019-06-25,2447680895251920,"Ganate una entrada para vos y un acompañante a la nueva edición del Social Media Day SV que se llevará a cabo este Miércoles 26, ¡Un evento lleno de contenido digital e innovación! Solamente tenés que comentar la frase: TIGO me lleva al Social Media Day  y estarás participando  

Los 15 ganadores serán elegidos al azar el día Martes 25 de Junio a mediodía  ¡Suerte!","Señores de Tigo me están estafando con su servicio no cumplen lo estipulado en sus contratos 
Mal servicio ya no pagare mi factura ",7.595345622948257e-05,media,307
facebook,Tigo El Salvador,113387205347979,2019-06-23,2019-06-26,2019-06-25,2447680895251920,"Ganate una entrada para vos y un acompañante a la nueva edición del Social Media Day SV que se llevará a cabo este Miércoles 26, ¡Un evento lleno de contenido digital e innovación! Solamente tenés que comentar la frase: TIGO me lleva al Social Media Day  y estarás participando  

Los 15 ganadores serán elegidos al azar el día Martes 25 de Junio a mediodía  ¡Suerte!","Señores de Tigo me están estafando con su servicio no cumplen lo estipulado en sus contratos 
Mal servicio ya no pagare mi factura ",7.595345622948257e-05,social,304
facebook,Tigo El Salvador,113387205347979,2019-06-23,2019-06-26,2019-06-25,2447680895251920,"Ganate una entrada para vos y un acompañante a la nueva edición del Social Media Day SV que se llevará a cabo este Miércoles 26, ¡Un evento lleno de contenido digital e innovación! Solamente tenés que comentar la frase: TIGO me lleva al Social Media Day  y estarás participando  

Los 15 ganadores serán elegidos al azar el día Martes 25 de Junio a mediodía  ¡Suerte!","Señores de Tigo me están estafando con su servicio no cumplen lo estipulado en sus contratos 
Mal servicio ya no pagare mi factura ",7.595345622948257e-05,lleva,303
facebook,Tigo El Salvador,113387205347979,2019-06-23,2019-06-26,2019-06-25,2447680895251920,"Ganate una entrada para vos y un acompañante a la nueva edición del Social Media Day SV que se llevará a cabo este Miércoles 26, ¡Un evento lleno de contenido digital e innovación! Solamente tenés que comentar la frase: TIGO me lleva al Social Media Day  y estarás participando  

Los 15 ganadores serán elegidos al azar el día Martes 25 de Junio a mediodía  ¡Suerte!","Señores de Tigo me están estafando con su servicio no cumplen lo estipulado en sus contratos 
Mal servicio ya no pagare mi factura ",7.595345622948257e-05,tigo,274
facebook,Tigo El Salvador,113387205347979,2019-06-23,2019-06-26,2019-06-25,2447680895251920,"Ganate una entrada para vos y un acompañante a la nueva edición del Social Media Day SV que se llevará a cabo este Miércoles 26, ¡Un evento lleno de contenido digital e innovación! Solamente tenés que comentar la frase: TIGO me lleva al Social Media Day  y estarás participando  

Los 15 ganadores serán elegidos al azar el día Martes 25 de Junio a mediodía  ¡Suerte!","Señores de Tigo me están estafando con su servicio no cumplen lo estipulado en sus contratos 
Mal servicio ya no pagare mi factura ",7.595345622948257e-05,day,271
facebook,Tigo El Salvador,113387205347979,2019-06-23,2019-06-26,2019-06-25,2447680895251920,"Ganate una entrada para vos y un acompañante a la nueva edición del Social Media Day SV que se llevará a cabo este Miércoles 26, ¡Un evento lleno de contenido digital e innovación! Solamente tenés que comentar la frase: TIGO me lleva al Social Media Day  y estarás participando  

Los 15 ganadores serán elegidos al azar el día Martes 25 de Junio a mediodía  ¡Suerte!",Mejor vengan a regalar las fallas santa Lucía dicen que es zona peligrosa,0.25777568426342595,media,307
facebook,Tigo El Salvador,113387205347979,2019-06-23,2019-06-26,2019-06-25,2447680895251920,"Ganate una entrada para vos y un acompañante a la nueva edición del Social Media Day SV que se llevará a cabo este Miércoles 26, ¡Un evento lleno de contenido digital e innovación! Solamente tenés que comentar la frase: TIGO me lleva al Social Media Day  y estarás participando  

Los 15 ganadores serán elegidos al azar el día Martes 25 de Junio a mediodía  ¡Suerte!",Mejor vengan a regalar las fallas santa Lucía dicen que es zona peligrosa,0.25777568426342595,social,304
facebook,Tigo El Salvador,113387205347979,2019-06-23,2019-06-26,2019-06-25,2447680895251920,"Ganate una entrada para vos y un acompañante a la nueva edición del Social Media Day SV que se llevará a cabo este Miércoles 26, ¡Un evento lleno de contenido digital e innovación! Solamente tenés que comentar la frase: TIGO me lleva al Social Media Day  y estarás participando  

Los 15 ganadores serán elegidos al azar el día Martes 25 de Junio a mediodía  ¡Suerte!",Mejor vengan a regalar las fallas santa Lucía dicen que es zona peligrosa,0.25777568426342595,lleva,303
facebook,Tigo El Salvador,113387205347979,2019-06-23,2019-06-26,2019-06-25,2447680895251920,"Ganate una entrada para vos y un acompañante a la nueva edición del Social Media Day SV que se llevará a cabo este Miércoles 26, ¡Un evento lleno de contenido digital e innovación! Solamente tenés que comentar la frase: TIGO me lleva al Social Media Day  y estarás participando  

Los 15 ganadores serán elegidos al azar el día Martes 25 de Junio a mediodía  ¡Suerte!",Mejor vengan a regalar las fallas santa Lucía dicen que es zona peligrosa,0.25777568426342595,tigo,274
facebook,Tigo El Salvador,113387205347979,2019-06-23,2019-06-26,2019-06-25,2447680895251920,"Ganate una entrada para vos y un acompañante a la nueva edición del Social Media Day SV que se llevará a cabo este Miércoles 26, ¡Un evento lleno de contenido digital e innovación! Solamente tenés que comentar la frase: TIGO me lleva al Social Media Day  y estarás participando  

Los 15 ganadores serán elegidos al azar el día Martes 25 de Junio a mediodía  ¡Suerte!",Mejor vengan a regalar las fallas santa Lucía dicen que es zona peligrosa,0.25777568426342595,day,271
